CERE2025 PROGRAM OVERVIEW,,,,,,s,,
Tuesday 15th July,,,,,,,,
19:00,Welcome Reception at Bastille salle Lesdiguières,,,,,,,
,,,,,,,,
Wednesday 16th July,,,,,,,,
8:30-09:30,Registration & poster set up (and coffee ;-),,,,,,,
09:30-9:45,Opening remarks,,,,,,,
9:45-10:45,Amphi 1: Keynote Speaker   ,,,,,,,
,Steven Heine,,,,,,,
10:45-11:15,Coffee break,,,,,,,
11:15-12:30,per speaker: 12min talk + 2min questions + 1min speaker change + 15min discussion,,,,,,,
,Room: amphi 3,Room: amphi 5,Room: amphi 6,Room: amphi 4,Room: amphi 7,,,
,Emotional and Sensory Modality Shift   Chair: Xia Fang,Facial Expressions and Culture   Chair: Yong-Qi Cong,What Texts Reveal About Emotion   Chair: Tal Eyal,610511 Symposium A Self-determination Theory Perspective on Emotion Regulation - Chair: Jolene Van Der Kaap-Deeder,617450 Symposium Navigating eco-emotions: an overview of recent research on their impact on pro-environmental behaviors - Chair: Ronan Bellemin,,,
11:15,608271 Pan Zhihe - Emotion Communication in Speech Prosody: The Role of Culture and Language Tone,616705 Perret-Dépiaz Elora - Facial displays interpretation among Zapotecs and Spaniards: A cross-cultural study,604995 Fernández Viña Alicia - Rivers of Ambition and Shadows of Guilt. Lady Macbeth's Descent through Aristotelian Affects,Van der Kaap-Deeder Jolene - Taking Ownership of One’s Positive Emotions: The Relation From Emotion Crafting To Mental Health Across Four Weeks,Lackner Zoé - Eco-emotions in action: Two studies that highlight the theoretical issues involved in understanding the link between eco-emotions and pro-environmental behaviors,5,,
11:30,609119 Fang Xia - Bimodal Emotion Decoding: When Faces and Voices Diverge,613405 Cong Yong-Qi - A pre-registered meta-analysis on cross-cultural emotion recognition from facial expressions: No evidence of an ingroup advantage,619031 Eyal Tal - Investigating the Link Between Emotions and Construal Level Using Language Models,Hernandez Hernandez Maria Elena - Positive and Proactive Emotion Regulation and Need Fulfillment: The Daily Links Between Emotion Crafting and Psychological Needs,Bellemin Ronan - Investigating the relationship between positive eco-emotions and pro-environmental responses,5,,
11:45,619160 Folyi Timea - Fine-grained affective experiences can occur spontaneously and involuntarily: Nine different types of affective feelings indirectly evoked by music,619199 Gurbuz Emre - Evaluative Responses to Emotional Expression and Group Membership in the Evaluative Priming Task,619184 Noblet Jonas - From emotion to opinion: Extrapolating appraisal dimensions to the caracterization of textual opinions,Taşkesen Nureda - The Role of Parental Autonomy Support and Warmth in Psychological Well-Being: The Mediating Role of Emotion Crafting,Davreux Zoé - How are eco-emotions related to different pro-environmental behaviors among university graduates? A longitudinal study,5,,
12:00,620150 Bell Meir‏ Argaman - Social Context Shapes Facial Synchronization - A Virtual Reality Study,608194 Mazhar Anushay - Emotion Knowledge Trajectories in Pakistani Preschoolers: A Multilevel Longitudinal Study,618414 Wuttke Yannick - Emotional Spillover on Social Media: The Impact of Incidental Emotions on Advertising Effectiveness,Rashid Asma - The Moderating Role of Childhood Trauma in Daily Emotion Regulation and Basic Needs: An Experience Sampling Method Study On Well-Being and Ill-Being,Sapin Arnaud - What drives pro-environmental actions? Insights into eco-emotions and political perceptions amoung young people,4,608194 Mazhar Anushay - Emotion Knowledge Trajectories in Pakistani Preschoolers: A Multilevel Longitudinal Study,
12:15,Discussion,Discussion,Discussion,Discussion,Discussant : Aurélien Graton,,1,
12:30-13:30,Lunch,,,,,,,
13:30-14:45,per speaker: 12min talk + 2min questions + 1min speaker change + 15min discussion,,,,,,,
,Room: amphi 3,Room: amphi 5,Room: amphi 4,Room: amphi 6,,,,
,Emotional Postures and Embodiment   Chair: Till Kastendieck,Anxiety and Emotional Trauma   Chair: Céline Baeyens,609714 Symposium Emotional Integration versus Emotional Avoidance: A Self-Determination Theory Approach to Adaptive Emotion Regulation - Chair: Guy Roth,609342 Data Workshop - Identifying Correct or Incorrect Emotion Recognition from Facial Expression Time   Chair: Damien Dupré,,1,,
13:30,617437 Galvagnon Coralie - Pigs' tail posture during emotions of success and failure.,"619149 Prikhidko Alena - De-Villainizing Envy: Emotion Regulation Counseling in Addressing Systemic Inequities, Mental Health, and Radicalization Among Immigrant Populations",Legault Lisa - The Importance of Emotional Openness in Social Action,,,3,609569 Quezon Patricia Marie - The Effect of Brief Acceptance and Commitment Therapy on Young Adults with Clinically Significant Anxiety,
13:45,618424 Armony Jorge L. Postural feedback effects on mood and risk-taking behavior in ecologically-valid settings,610541 Hevron Hadas - Radical Acceptance Training Improves Coping During War: Evidence from Two Randomized Controlled Trials.,"Roth Guy - Empathize with The Enemy: Emotion Regulation, Empathy, and Support for Pacifying Policies in Intractable Conflicts",,,3,,
14:00,619244 Kastendieck Till - Emotional Mimicry in Virtual Reality: Evidence Gathered with Head-Mounted Displays Featuring Integrated Electromyography Technology,618016 Giersiepen Maren - The weight of failure: Depressive tendency intensifies the loss of control following negative feedback,Benita Moti - The Impact of Goal Self-Concordance on Emotion Regulation during Academic Goal Pursuit: A Multilevel Latent Profile Analysis Approach,,,3,,
14:15,Discussion,Discussion,Philippe Frederick L. - Emotion Regulation in Adults' Memories of Child Maltreatment: Implications for Mental Health,,,3,612588 Fino Edita - Recognition of facial expressions of emotions following war-related trauma,
14:30,Discussion,Discussion,Discussant : Netta Weinstein,,,,1,
14:50-15:50,Poster session (28 posters),,,,,,,
,Emotion Regulation 1 ― Facial Expression Recognition 1 ― Mental health/Mindfulness ― Motivation/Values and Emotion ― Neuronal correlates of emotions ― Emotions and Social relations 1 ― Emotions in Daily Life: Interpersonal Perspectives Across Contexts and Cultures,,,,,,,
15:50-16:20,Coffee break,,,,,,,
16:20-17:35,per speaker: 12min talk + 2min questions + 1min speaker change + 15min discussion,,,,,,,
,Room: amphi 7,Room: amphi 6,Room: amphi 4,Room: amphi 5,Room: amphi 3,,,
,"Hate, Stress, Creepiness and Other Sentiments   Chair: Roger Giner-Sorolla",Moral Models & Social Identity   Chair: Sophie Russell,Everyday Emotion Regulation   Chair: Giada Lettieri,617927 Symposium Affective processes in information-seeking - Chair: Yoann Stussi ,617127 Symposium Research Methods and Materials for Studying Emotions in the Face - Chair: Dennis Küster,,,
16:20,608914 Martinez Cristhian - The Hated One: Human and Psychological Attributions toward Hate Targets,611062 Russell Sophie - The Dynamic Interplay of Emotions and Perspectives in Apologies,605360 O'Dea Muireann - Self-Transcendent Emotions and Boredom in Daily Life,Vivanco Carlevari Anastassia - Images and stories of suffering: Why do people choose to engage with emotionally evocative content?,Gebele Jens - Do AI and Humans Look at Emotions the Same Way? A Study Using Explainable AI,5,,
16:35,610836 Cohen-Charash Yochi - (Re)Discovering Sentiments: A New Lens on Workplace Affect,610803 Basiyd Fellahi Haouria - Driving Moral Disengagement and Moral Emotions: A Qualitative Exploration,618692 Lettieri Giada - Valence similarities between intermediate and final emotional states determine the plausibility of complex emotional trajectories,Stussi Yoann - Affective relevance and valence modulate information value learning,Küster Dennis - EMG-based Action Unit Recognition and Animation,5,,
16:50,"619532 Giner-Sorolla Roger - Feelings of Creepiness Encourage, Rather Than Discourage, Identifying and Acting on Sexual Harassment",617830 Baele Céline - Exploring Moral Distress from a Componential Emotion Perspective: Evidence for a Multidimensional Construct,607961 Krajuškina Maria - Comprehensive Assessment of Appraisal Shifts in Reappraisal of Positive and Negative Vignettes ,Leone Giovanni - The curious brain: Dissecting the brain mechanisms of curiosity and reward,Van Apeldoorn Nick - From Altered Photographs to Virtual Humans: Exploring Emotional Perception in Experimental Research,5,,
17:05,616359 Aguilera Aitana - The weight of expectations: Gender role stress and fear of negative evaluation shaping women's well-being,618599 Panasiti Maria Serena - Reducing gastric rhythm via tVNS mitigates the effects of disgust inductions on moral emotions and behavior,612503 Matthijs Marie - Investigating the validity of the Situational Test of Emotion Regulation Ability in a community sample,O’Donoghue Ellen M. - Disentangling the influences of curiosity and active exploration on cognitive map formation,Wróbel Monika - The Dynamic Posed Emotional Crying Behavior Database (DPECBD): A Comprehensive Resource to Study the Multifaceted Nature of Emotional Crying,5,,
17:20,Discussion,Discussion,Discussion,Scholl Jacqueline - Foraging under threat,Zinkernagel Axel - Not just points in a cloud: A marker-based comparison of biases in dynamic landmark detection performance across four automatic emotion recognition systems,2,17:20 put PRIKHIDO instead of QUEZON,
18:00,,,,,,,,
,,,,,,,,
DAY 1 - 16.07.25 ,,,,,,,,
Poster groups’ presentations in the Galerie des amphis,,,,,,,,
14h50-15h50,,,,,,,,
,,,,,,,,
Emotion Regulation 1 - Chair: Aslıhan Ataman,,,,,,,,
602399,The Role of Integrative Emotion Regulation on Psychological Well-being: A Self-Determination Theory Perspective,,,Ataman Aslıhan,,1,,
612124,Exploring Interpersonal Emotion Regulation Strategies in Parents of Children with Neurodevelopmental Conditions: A Qualitative Analysis,,,"Ahmad Sam, Cai Ru Ying, Prosetzky Ingolf, Uljarevic Mirko, Zurbriggen Carmen, Gross James, Samson Andrea",,1,,
611547,Emotion Regulation of Envy: The Role of Suppression and Cognitive Reappraisal,,,"Prikhidko Alena, Kushnerenko Dmitry, Qiu Yuxi",,1,,
,,,,,,,,
Facial Expression Recognition - Chair: Liron Amihai ,,,,,,,,
609607,Investigating the Relationship between Social Anxiety and Face Perception,,,"Liu Shengtong, Elliott Rebecca, Lander Karen",,1,,
611392,Exploring the Role of Emotion Intensity and Background on Face Emotion Recognition,,,"Peng Yuanyi, Lander Karen, Kafkas Alex",,1,,
616402,Facial Mimicry Predicts Emotion Recognition Capacity,,,"Amihai Liron, Maer Shachar, Yeshurun Yaara",,1,,
,,,,,,,,
Mental health/Mindfulness - Chair: Madeline Murphy ,,,,,,,,
603577,Mindfulness and Its Correlation with Youth Mental Health,,,"Wasylkowska Maria, Kobylińska Dorota, Holas Paweł, Mituniewicz Julian, Robak Natalia",,1,,
611452,The Language of Emotion and Identity in Emergencies,,,Murphy Madeline,,1,,
,,,,,,,,
Motivation/values and Emotion - Chair: Samuel Silva ,,,,,,,,
607985,Attentional Bias to Positive and Negative Stimuli: The Role of Intrinsic and Motivational Relevance,,,"Boğa Merve, Koyuncu Mehmet",,1,,
608420,How do Achievement Goals Relate to Daily Personal Goal Pursuit? Emotion Regulation's Mediating Role,,,"Katz-Vago Inbar, Benita Moti",,1,,
610726,Is male sexual arousal an emotional state indexed by pre-attentional tendencies toward erotic pictures?,,,"Silva Samuel, Rosa Pedro J., Joana Carvalho",,1,,
618774,Human Values Elicit Negative Feelings And Therefore Ambivalence.,,,"Maslamani Aysheh, Kanfo-Noam Ariel, Maio Greg, Mayo Ruth",,1,,
618620,"Cultural Differences in Beliefs about Emotions, Everyday Emotion Regulation and Affect Changes between UK and China",,,Ge Yiran,,1,,
610573,Evidence on female sexual arousal as an emotional state unconsciously triggered by sexual stimuli,,,"Joana Carvalho, Rosa Pedro, Silva Samuel",,1,,
,,,,,,,,
Neuronal correlates of emotions - Chair: Beatriz Bermúdez Margaretto ,,,,,,,,
